customer_id,gender,location_type,cust_longitude,cust_latitude,akeed_order_id,item_count,grand_total,payment_mode,promo_code,vendor_discount_amount,promo_code_discount_percentage,is_favorite,is_rated,vendor_rating_x,vendor_id,LOCATION_NUMBER,LOCATION_TYPE,CID X LOC_NUM X VENDOR,latitude,longitude,vendor_category_en,delivery_charge,serving_distance,is_open,prepration_time,rank,primary_tags,vendor_rating_y,vendor_tag_name
0,male,Home,0.0796648491171068,-1.5758667927596506,242001.0,1.0,18.7,1,0,0.0,0.0,No,No,0.0,259,1,Other,00GV4J4 X 1 X 259,0.0258211538481081,0.5515938636360602,Restaurants,0.0,15.0,1.0,15,1,134,4.3,"American,Burgers,Kids meal,Pasta,Sandwiches,Smoothies,Soups,Steaks"
1,male,Home,0.103313409090915,-1.1172961538460882,266129.0,1.0,6.0,1,0,0.0,0.0,No,Yes,5.0,299,1,Home,00HWUU3 X 1 X 299,-0.8188096153846912,0.1351238636363022,Restaurants,0.7,15.0,1.0,15,1,1065,4.2,"Combos,Fries,Mojitos ,Pasta,Sandwiches"
2,male,Other,0.6451980709386264,-0.0354406379038473,407702.0,3.0,49.5,2,0,0.0,0.0,No,Yes,5.0,298,3,Home,00OT8JX X 3 X 298,-0.4151923076923066,0.6435499999999971,Restaurants,0.0,8.0,1.0,17,1,478,4.7,"Free Delivery,Fresh Juices,Pastas,Salads,Sandwiches"
3,male,Other,0.5249932435999932,-0.0646416541922712,250685.0,1.0,7.9,1,0,0.0,0.0,No,No,0.0,216,0,Home,00QIIMH X 0 X 216,-0.5875980769230975,0.7541936363633901,Restaurants,0.7,6.0,1.0,15,1,815,4.7,"Coffee,Organic"
4,female,Work,0.5434574774068287,0.3321880879807645,382562.0,2.0,16.7,4,0,0.0,0.0,No,Yes,5.0,33,2,Home,018GT0H X 2 X 33,-0.4946538461538846,0.7433181818182409,Restaurants,0.7,6.0,1.0,17,1,51,4.6,"Desserts,Mexican"
5,male,Home,0.2118248598136394,0.1363680513076706,286763.0,1.0,12.6,2,0,0.0,0.0,No,Yes,5.0,356,0,Home,01BY7WQ X 0 X 356,-0.8450961538461755,0.0670131818182866,Restaurants,0.0,15.0,1.0,15,1,46,4.2,"American,Kids meal,Pasta,Pizzas,Salads"
6,male,Work,0.5292684565181713,0.5644538287307626,249245.0,2.0,0.3,1,1,0.0,0.0,No,No,0.0,43,0,Work,01DSQ03 X 0 X 43,-0.1150096153846109,0.5459734090908435,Restaurants,0.7,15.0,1.0,15,1,8,4.3,"American,Burgers,Fries,Sandwiches"
7,male,Home,-0.0038615740181733,-0.1092970599038558,273217.0,1.0,7.6,1,0,0.0,0.0,No,Yes,5.0,84,1,Home,01HG648 X 1 X 84,-1.004923076923082,0.0787363636363481,Restaurants,0.0,15.0,1.0,14,1,90,4.3,"Burgers,Fries,Kids meal,Shawarma"
8,male,Home,-0.0099411363636519,0.0695576923077309,265583.0,1.0,9.8,1,0,0.0,0.0,No,Yes,4.0,86,1,Home,01RMLT7 X 1 X 86,-0.4981346153846108,0.0580172727272977,Sweets & Bakes,0.0,15.0,1.0,13,1,336,4.5,"Cakes,Crepes,Desserts,Donuts,Fresh Juices,Ice creams,Milkshakes,Pancakes,Waffles"
9,female,Home,0.6007721010934215,0.2025558443572284,334281.0,3.0,30.3,1,0,0.0,0.0,No,Yes,5.0,188,1,Home,0282DXQ X 1 X 188,-0.4056604120789125,0.644401369039313,Restaurants,0.7,8.0,1.0,14,1,695,4.6,"Italian,Pasta,Pizzas,Salads,Sandwiches"
10,male,Home,0.0212206813888763,-0.0219634600652989,244763.0,1.0,6.3,2,0,0.0,0.0,No,No,0.0,86,1,Home,02REA7X X 1 X 86,-0.4981346153846108,0.0580172727272977,Sweets & Bakes,0.0,15.0,1.0,13,1,336,4.5,"Cakes,Crepes,Desserts,Donuts,Fresh Juices,Ice creams,Milkshakes,Pancakes,Waffles"
11,female,Other,0.6612414365454651,-0.4986483973653315,235719.0,2.0,17.1,2,0,0.0,0.0,No,No,0.0,199,1,Other,02SFNJH X 1 X 199,2.3377538461538085,0.6995749999999297,Sweets & Bakes,0.0,15.0,1.0,15,1,0,4.5,"Cakes,Crepes,Desserts,Donuts,Fresh Juices,Ice creams,Milkshakes,Mojitos ,Pancakes,Waffles"
